Student_ID,Name,Gender,Department,Email,Phone,Attendance,Fee,Join_Date,City,Score
ST1497,Rahul,female,AI&DS,,9876543210,,45k,2026-01-31, Bangalore,
ST1350,Aisha,,AI&DS,,+91-9876543210,85%,"?45,000",10/02/2025,,69
ST1144,John,m,I.T,,09876543210,0.78,"?60,500",09/09/2025,Chennai,105
ST1336,Sara,Male,Computer Science,saragmail.com,98765 43210,92,45000,29 Jan 26,Chennai,100
ST1509,Rahul,female,Computer Science,,9876543210,92,45k,23 Apr 26,Delhi,
ST1333,Priya,female,IT,priya@gamil.com,09876543210,,45k,17 May 25,Delhi,105
ST1279,Monica,M,AI DS,monica@gmail.com,N/A,0.78,"?45,000",23 Jun 25,Delhi,83
ST1146, Huzaifa ,Female,AI&DS,huzaifa@gmail.com,N/A,Absent,"?45,000",14 Dec 25,Pune,105
ST1340,Balakrishnan,Female,AI&DS,balakrishnan@gamil.com,98765 43210,0.78,45000,2025-12-30,Hyderabad ,-5
ST1108,Balakrishnan,m,IT,balakrishnan@gamil.com,9876543210,0.78,45k,29/04/2026,Delhi,105
ST1415,Deepak,F,AI&DS,deepak@gamil.com,N/A,101%,"?60,500",14 Apr 26,,24
ST1224,mOhammed,F,I.T,mohammedgmail.com,9876543210,0.78,"?60,500",30/04/2026,Pune,35
ST1072,Sara,Female,CSE,sara@gamil.com,98765 43210,92,"?45,000",2025-12-23, Bangalore,105
ST1267, Huzaifa ,m,AI DS,,98765 43210,,Paid,2026-05-06,Chennai,
ST1338,John,Female,Artificial Intelligence,john@gamil.com,9876543210,92,Paid,05 Apr 26,Chennai,
ST1240,mOhammed,Male,CSE,mohammed@gamil.com,9876543210,,45k,19/05/2025,Delhi,84
ST1196,Sara,M,AI DS,,N/A,Absent,45000,10 Mar 25,Chennai,105
ST1453,Sara,M,IT,,+91-9876543210,101%,Paid,03 Feb 25,Hyderabad ,-5
ST1331,Rahul,Male,AI DS,rahulgmail.com,09876543210,92,"?60,500",22/04/2025,,AB
ST1355,,female,AI&DS,,+91-9876543210,85%,"?45,000",13/10/2025,,70
ST1179,Rahul,Male,Artificial Intelligence,,+91-9876543210,0.78,45k,03 Feb 25,Hyderabad ,
ST1337,Balakrishnan,female,Computer Science,balakrishnan@gmail.com,N/A,,45000,2025-10-25,Chennai,AB
ST1329,Monica,m,AI DS,,+91-9876543210,0.78,45k,2026-02-01, Bangalore,-5
ST1203,mOhammed,male,AI DS,mohammed@gmail.com,9876543210,85%,Paid,04/02/2026,Chennai,105
ST1255,Aisha,female,Artificial Intelligence,,+91-9876543210,101%,"?60,500",17 Jul 25, Bangalore,AB
ST1303, Huzaifa ,,AIDS,huzaifa@gamil.com,+91-9876543210,0.78,,2025-09-13, Bangalore,
ST1175,Balakrishnan,female,I.T,balakrishnan@gmail.com,9876543210,,,26 Feb 25, Bangalore,-5
ST1388,Balakrishnan,Male,I.T,,09876543210,0.78,45k,26/10/2025, Bangalore,63
ST1138,Balakrishnan,m,IT,balakrishnangmail.com,+91-9876543210,85%,Paid,2025-12-16,Pune,105
ST1487,Monica,female,AI DS,monica@gmail.com,+91-9876543210,Absent,45k,28/02/2025,Hyderabad ,
ST1338,Sara,male,AI DS,sara@gamil.com,+91-9876543210,92,"?60,500",10 Feb 25,Hyderabad ,-5
ST1176,Rahul,,AIDS,rahul@gmail.com,09876543210,85%,"?45,000",30/05/2025,Delhi,
ST1248,Balakrishnan,Male,AIDS,balakrishnan@gamil.com,98765 43210,,Paid,04 May 25,Chennai,AB
ST1441,,m,AI&DS,user@gamil.com,+91-9876543210,Absent,Paid,29/01/2026,Delhi,-5
ST1187,Balakrishnan,,AIDS,balakrishnan@gmail.com,+91-9876543210,101%,,12 Sep 25, Bangalore,
